Period,Schedule run,Id,X,Y,Range,Battery,Gather Rate,Recharge Rate
190,1,e1,25,25,100,0.00,10,10
191,0,e1,25,25,100,9.56,10,10
192,0,e1,25,25,100,9.56,10,10
193,0,e1,25,25,100,9.56,10,10
193,1,e1,25,25,100,0.00,10,10
194,0,e1,25,25,100,9.56,10,10
194,1,e1,25,25,100,0.00,10,10
195,0,e1,25,25,100,9.56,10,10
196,0,e1,25,25,100,9.56,10,10
197,0,e1,25,25,100,9.56,10,10
197,1,e1,25,25,100,0.00,10,10
198,0,e1,25,25,100,9.56,10,10
199,0,e1,25,25,100,9.56,10,10
200,0,e1,25,25,100,9.56,10,10
201,0,e1,25,25,100,9.56,10,10
201,1,e1,25,25,100,0.00,10,10
202,0,e1,25,25,100,9.56,10,10
202,1,e1,25,25,100,0.00,10,10
203,0,e1,25,25,100,9.56,10,10
204,0,e1,25,25,100,9.56,10,10
205,0,e1,25,25,100,9.56,10,10
205,1,e1,25,25,100,0.00,10,10
206,0,e1,25,25,100,9.56,10,10
207,0,e1,25,25,100,9.56,10,10
207,1,e1,25,25,100,0.00,10,10
208,0,e1,25,25,100,9.56,10,10
208,1,e1,25,25,100,0.00,10,10
209,0,e1,25,25,100,9.56,10,10
210,0,e1,25,25,100,9.56,10,10
211,0,e1,25,25,100,9.56,10,10
212,0,e1,25,25,100,9.56,10,10
212,1,e1,25,25,100,0.00,10,10
213,0,e1,25,25,100,9.56,10,10
214,0,e1,25,25,100,9.56,10,10
215,0,e1,25,25,100,9.56,10,10
215,1,e1,25,25,100,0.00,10,10
216,0,e1,25,25,100,9.56,10,10
216,1,e1,25,25,100,0.00,10,10
217,0,e1,25,25,100,9.56,10,10
218,0,e1,25,25,100,9.56,10,10
219,0,e1,25,25,100,9.56,10,10
219,1,e1,25,25,100,0.00,10,10
220,0,e1,25,25,100,9.56,10,10
221,0,e1,25,25,100,9.56,10,10
221,1,e1,25,25,100,0.00,10,10
222,0,e1,25,25,100,9.56,10,10
222,1,e1,25,25,100,0.00,10,10
223,0,e1,25,25,100,9.56,10,10
224,0,e1,25,25,100,9.56,10,10
225,0,e1,25,25,100,9.56,10,10
226,0,e1,25,25,100,9.56,10,10
226,1,e1,25,25,100,0.00,10,10
227,0,e1,25,25,100,9.56,10,10
228,0,e1,25,25,100,9.56,10,10
229,0,e1,25,25,100,9.56,10,10
229,1,e1,25,25,100,0.00,10,10
230,0,e1,25,25,100,9.56,10,10
230,1,e1,25,25,100,0.00,10,10
231,0,e1,25,25,100,9.56,10,10
232,0,e1,25,25,100,9.56,10,10
233,0,e1,25,25,100,9.56,10,10
233,1,e1,25,25,100,0.00,10,10
234,0,e1,25,25,100,9.56,10,10
235,0,e1,25,25,100,9.56,10,10
235,1,e1,25,25,100,0.00,10,10
236,0,e1,25,25,100,9.56,10,10
236,1,e1,25,25,100,0.00,10,10
237,0,e1,25,25,100,9.56,10,10
238,0,e1,25,25,100,9.56,10,10
239,0,e1,25,25,100,9.56,10,10
240,0,e1,25,25,100,9.56,10,10
240,1,e1,25,25,100,0.00,10,10
241,0,e1,25,25,100,9.56,10,10
242,0,e1,25,25,100,9.56,10,10
243,0,e1,25,25,100,9.56,10,10
243,1,e1,25,25,100,0.00,10,10
244,0,e1,25,25,100,9.56,10,10
245,0,e1,25,25,100,9.56,10,10
245,1,e1,25,25,100,0.00,10,10
246,0,e1,25,25,100,9.56,10,10
247,0,e1,25,25,100,9.56,10,10
247,1,e1,25,25,100,0.00,10,10
248,0,e1,25,25,100,9.56,10,10
249,0,e1,25,25,100,9.56,10,10
249,1,e1,25,25,100,0.00,10,10
250,0,e1,25,25,100,9.56,10,10
